SQ_CANDIDATO,SG_UE,NR_PARTIDO,CD_OCUPACAO,IDADE_DATA_POSSE,CD_GENERO,CD_GRAU_INSTRUCAO,CD_ESTADO_CIVIL,CD_NACIONALIDADE,SG_UF_NASCIMENTO,CD_MUNICIPIO_NASCIMENTO,TP_AGREMIACAO,COMP_COLIGACAO,QT_PART_COL,QT_BENS,VL_TOT_BENS,REC_PROP,REC_PF,REC_PJ,REC_PARTCAND,REC_OUTRAS,VR_DESPESA,VOTOS_PART_ELEC_ANT,QT_ELEITOS_ELEC_ANT,RESULTADO
250000080621,71072,19,233,37,2,6,1,1,35,71072,1,8,2,1,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,58279,0,0
250000100505,71072,19,541,55,2,4,1,1,35,71072,1,8,2,2,500000.0,0.0,0.0,0.0,1570.88,0.0,1570.88,58279,0,0
250000080668,71072,19,999,56,2,2,1,1,29,35130,1,8,2,2,90000.0,0.0,0.0,0.0,1570.88,0.0,1570.88,58279,0,0
250000080669,71072,19,131,65,2,8,9,1,23,14630,1,8,2,0,0.0,0.0,0.0,0.0,1570.88,0.0,1570.88,58279,0,0
250000080700,71072,19,169,56,2,8,3,1,35,71072,1,8,2,0,0.0,0.0,0.0,9200.0,3070.88,0.0,11570.88,58279,0,0
250000080712,71072,19,257,59,2,3,3,1,27,28851,1,8,2,0,0.0,0.0,0.0,0.0,1938.75,0.0,1765.88,58279,0,0
250000080721,71072,19,403,40,2,6,3,1,35,71072,1,8,2,0,0.0,0.0,0.0,0.0,1570.88,0.0,1570.88,58279,0,0
250000080719,71072,19,134,54,4,7,1,1,35,71072,1,8,2,0,0.0,0.0,0.0,0.0,1525.38,0.0,1525.38,58279,0,0
250000080620,71072,19,999,37,2,8,1,1,41,76279,1,8,2,4,453600.0,0.0,0.0,1890.0,1570.88,0.0,3460.88,58279,0,0
250000080659,71072,19,999,54,2,7,9,1,35,71072,1,8,2,2,40000.0,2544.28,0.0,0.0,1525.38,0.0,4288.259999999999,58279,0,0
250000080677,71072,19,232,42,2,8,1,1,35,71072,1,8,2,0,0.0,0.0,0.0,2500.0,354.68,0.0,4764.68,58279,0,0
250000080665,71072,19,266,45,2,8,3,1,35,71072,1,8,2,2,3549.27,0.0,0.0,0.0,1570.88,0.0,1570.88,58279,0,0
250000080672,71072,19,125,30,2,7,1,1,35,71072,1,8,2,0,0.0,0.0,0.0,0.0,1570.88,0.0,1720.88,58279,0,0
250000080681,71072,19,111,39,2,8,3,1,35,71072,1,8,2,3,765000.0,8970.0,0.0,0.0,1570.88,0.0,2050.88,58279,0,0
250000080694,71072,19,131,45,2,8,3,1,35,64114,1,8,2,0,0.0,0.0,0.0,0.0,322.37,0.0,322.37,58279,0,0
250000080698,71072,19,537,47,2,3,3,1,35,61450,1,8,2,0,0.0,0.0,0.0,0.0,367.87,0.0,367.87,58279,0,0
250000080685,71072,19,111,40,2,8,1,1,35,71072,1,8,2,2,206000.0,3221.35,0.0,0.0,1570.88,0.0,3570.88,58279,0,0
250000080689,71072,19,169,36,4,6,3,1,25,21270,1,8,2,3,200780.0,0.0,0.0,0.0,1389.88,0.0,1389.88,58279,0,0
250000080627,71072,19,411,19,4,2,1,1,35,70572,1,8,2,0,0.0,0.0,0.0,0.0,121.87,0.0,121.87,58279,0,0
250000080632,71072,19,257,34,2,8,1,1,50,91014,1,8,2,3,320000.0,0.0,0.0,0.0,1570.88,0.0,1570.88,58279,0,0
250000080702,71072,19,169,47,2,4,3,1,15,4278,1,8,2,4,260500.0,0.0,0.0,0.0,1570.88,0.0,1570.88,58279,0,0
250000080662,71072,19,397,55,2,7,3,1,31,41459,1,8,2,1,55000.0,0.0,0.0,0.0,1525.38,0.0,1525.38,58279,0,0
250000080673,71072,19,140,24,4,2,1,1,29,39594,1,8,2,0,0.0,0.0,0.0,0.0,1570.88,0.0,1570.88,58279,0,0
250000080671,71072,19,257,35,2,7,1,1,35,71072,1,8,2,3,1001000.0,600.0,0.0,0.0,40669.4,0.0,41250.4,58279,0,0
250000080713,71072,19,999,34,2,7,3,1,35,71072,1,8,2,1,25000.0,0.0,0.0,0.0,1570.88,0.0,1570.88,58279,0,0
250000080722,71072,19,166,32,2,7,1,1,35,71072,1,8,2,0,0.0,600.0,0.0,0.0,1570.88,0.0,2052.88,58279,0,0
250000080624,71072,19,581,33,4,6,3,1,35,71072,1,8,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58279,0,0
250000080626,71072,19,243,45,4,6,1,1,21,9210,1,8,2,0,0.0,0.0,0.0,0.0,1525.38,0.0,1525.38,58279,0,0
250000080725,71072,19,196,44,4,2,1,1,29,38091,1,8,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58279,0,0
250000080714,71072,19,999,45,2,7,3,1,31,41238,1,8,2,1,70000.0,0.0,0.0,0.0,367.87,0.0,767.87,58279,0,0
250000080723,71072,19,999,43,2,6,3,1,53,97012,1,8,2,0,0.0,0.0,0.0,0.0,1570.88,0.0,1570.88,58279,0,0
250000080724,71072,19,134,61,4,7,9,1,35,71072,1,8,2,1,400000.0,0.0,0.0,0.0,1525.38,0.0,1525.38,58279,0,0
250000080628,71072,19,303,36,2,8,3,1,35,71072,1,8,2,1,74651.0,4880.0,0.0,0.0,1570.88,0.0,5570.88,58279,0,0
250000080678,71072,19,163,35,4,6,1,1,35,71072,1,8,2,0,0.0,0.0,0.0,0.0,1389.88,0.0,1389.88,58279,0,0
250000080683,71072,19,717,36,2,6,3,1,35,71072,1,8,2,0,0.0,0.0,0.0,0.0,367.87,0.0,367.87,58279,0,0
250000080682,71072,19,131,49,2,8,9,1,35,71072,1,8,2,0,0.0,0.0,0.0,0.0,1570.88,0.0,1570.88,58279,0,0
250000080691,71072,19,257,41,2,4,3,1,35,71072,1,8,2,1,5200.0,80.0,0.0,0.0,2728.39,0.0,2794.3900000000003,58279,0,0
250000080692,71072,19,169,49,2,2,3,1,35,64572,1,8,2,1,30000.0,0.0,0.0,0.0,1570.88,0.0,1570.88,58279,0,0
250000080639,71072,19,113,32,2,6,1,1,35,71072,1,8,2,4,314500.0,867.0,0.0,0.0,1570.88,0.0,2036.88,58279,0,0
250000080658,71072,19,257,40,2,3,9,1,35,70572,1,8,2,6,36270.39,3127.82,0.0,0.0,1570.88,0.0,2974.83,58279,0,0
250000080666,71072,19,999,37,2,8,1,1,35,71072,1,8,2,10,1182356.38,8500.0,0.0,4345.75,0.0,0.0,10641.630000000001,58279,0,0
250000080688,71072,19,237,54,4,2,1,1,29,38490,1,8,2,0,0.0,0.0,0.0,0.0,1525.38,0.0,1525.38,58279,0,0
250000080705,71072,19,257,46,2,8,3,1,35,70777,1,8,2,0,0.0,0.0,0.0,0.0,1570.88,0.0,1570.88,58279,0,0
250000080711,71072,19,999,52,2,8,3,1,35,71072,1,8,2,3,201570.88,950.0,0.0,0.0,1585.88,0.0,1935.88,58279,0,0
250000080679,71072,19,999,52,4,2,3,1,35,71072,1,8,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58279,0,0
250000080675,71072,19,132,50,2,8,9,1,35,71072,1,8,2,5,48639.16,0.0,0.0,0.0,1570.88,0.0,1570.88,58279,0,0
250000080680,71072,19,999,46,4,6,1,1,35,71072,1,8,2,0,0.0,0.0,0.0,0.0,1570.88,0.0,1570.88,58279,0,0
250000080697,71072,19,999,55,4,2,1,1,35,68616,1,8,2,0,0.0,0.0,0.0,0.0,1570.88,0.0,1570.88,58279,0,0
250000080674,71072,19,237,37,2,7,1,1,35,71072,1,8,2,0,0.0,0.0,0.0,0.0,1570.88,0.0,4792.88,58279,0,0
250000080637,71072,19,131,59,4,8,9,1,35,71072,1,8,2,0,0.0,0.0,0.0,0.0,1570.88,0.0,1570.88,58279,0,0
250000080652,71072,19,999,64,4,2,9,1,21,7218,1,8,2,0,0.0,100.0,0.0,0.0,1525.38,0.0,1610.38,58279,0,0
250000080653,71072,19,303,34,2,8,3,4,ZZ,-5,1,8,2,0,0.0,1380.0,0.0,0.0,1608.38,0.0,4878.38,58279,0,0
250000080635,71072,19,109,34,4,6,9,1,35,71072,1,8,2,0,0.0,0.0,0.0,0.0,1525.38,0.0,2885.38,58279,0,0
250000080718,71072,19,131,47,4,8,5,1,35,71072,1,8,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58279,0,0
250000080646,71072,19,101,40,2,8,1,1,35,71072,1,8,2,0,0.0,0.0,0.0,0.0,1570.88,0.0,1570.88,58279,0,0
250000080656,71072,19,257,53,2,6,3,1,22,11550,1,8,2,4,348000.0,0.0,0.0,0.0,1570.88,0.0,1570.88,58279,0,0
250000100504,71072,19,131,48,2,8,9,1,41,76350,1,8,2,0,0.0,0.0,0.0,0.0,322.37,0.0,322.37,58279,0,0
250000080657,71072,19,169,51,2,5,3,1,35,64815,1,8,2,0,0.0,1000.0,0.0,3000.0,1585.51,0.0,7214.51,58279,0,0
